drugbank_id	cancer	cardiovascular	hormonal	immune	neurological	ophthalmological
DB00892						2
DB00894						
DB00897					3	
DB00898	3	0	4	4		
DB00899	4	3		4	2.5	4
DB00900				0		
DB00902						
DB00903	1					1.5
DB00904	4			4	4	0
DB00905	0			4	2	4
DB00906					4	
DB00908		3		1	4	
DB00909					4	
DB00911	3					
DB00912	1		4	1	1	
DB00914	1					
DB00915		2	2		4	
DB00916	3	4	2.5	4		
DB00917					0	
DB00918					4	
DB00920		4		4		
DB00921				4	4	
DB00922		4				
DB00924					3	
DB00927	2.5	4		4	4	
DB00928	3					
DB00929	2.5			3		
DB00930	2		4	4		
DB00933						
DB00934					3	
DB00935	4	3		4		4
DB00936	1	2	4	4	2	
DB00938				4	4	
DB00939	0				2	
DB00942						
DB00943				0		
DB00944						
DB00945	4	4	4	4	4	3
DB00946	1	4				
DB00947	4			2		
DB00949					2	
DB00950	1		3	4	0	
DB00951	1		4			
DB00952					4	
DB00953					4	
DB00956	4			3	4	
DB00957	3	0	4	4	1	4
DB00958	4					
DB00959	4	3	4	4	4	4
DB00960					4	
DB00961	4	2		4		
DB00962					3	
DB00963						4
DB00964						0
DB00965	4	3		1		
DB00966		4	4	4	4	
DB00967	2			4		
DB00968			2			
DB00970	3					
DB00971						
DB00972				4		
DB00973	1	4	4	1	0	
DB00974	3	3	2			
DB00975		4		2	4	
DB00976				4		
DB00977	3	0	4	4	4	4
DB00978						
DB00979						4
DB00980						
DB00981					0	
DB00982	3		4	4	1.5	
DB00983	1		0	4	2	
DB00984						
DB00986	4			3	4	
DB00987	4			2		
DB00988	1		2		4	
DB00989		4			4	
DB00990	4					
DB00991						
DB00992			2			
DB00993				4		
DB00994	2			2		
DB00995	1.5					
DB00996	4		4	4	4	4
DB00997	4			2	2	
DB00998					4	
DB00999		4	4	4	4	
DB01000						
DB01001				4	1	
DB01002	4		0	4	4	2.5
DB01003	2	3		2	1.5	
DB01004	1		2	4		
DB01005	2	3		2		
DB01006	4		1.5			
DB01008	3			1	2.5	
DB01009				4	3	
DB01011			3		4	
DB01012	2					
DB01013	2	1.5		4		3
DB01015	4		4	4		
DB01016	1.5	3	4			
DB01017	3	4	4	4	4	
DB01018		2			4	
DB01019			1			
DB01020		2.5	3		0	0
DB01021						
DB01022	1	4		1	1	
DB01023			3	4		
DB01024	3		4	4		
DB01025			2			
DB01026	3		3	4	1	
DB01028		3				
DB01029		4	4	4	0	
DB01030	4					
DB01031						
DB01032			1		4	
DB01033	2			4		
DB01035		3				
DB01036	4					
DB01037	2				4	
DB01039	2	0	4	3	0	
DB01041	4			4	2.5	
DB01042	4			1.5		
DB01043	3	3		2	4	3
DB01044						4
DB01045	1	1	4	3	3	
DB01046	3		0		4	
DB01047	2			4		
DB01048				1		
DB01050	3	0	2	4	4	0
DB01053				2		
DB01054				4		
DB01057						
DB01058					2.5	
DB01059						
DB01060	4	4	3	4	4	
DB01062	3				0	
DB01063						
DB01064					0	
DB01065	3	4	3	2.5	4	1.5
DB01066						
DB01067			4			
DB01068					4	
DB01069	4	2	3	4	4	
DB01072			2	2.5		
DB01073	3			2		
DB01075	4	2	3	4	4	
DB01076	4	4	4	4	4	
DB01077	4					
DB01080					4	
DB01081	2					
DB01083			4		0	
DB01084						
DB01085	3					4
DB01086				3		
DB01088	2	1.5	0	4		
DB01089						
DB01091				3		
DB01093	3			2		
DB01097	3			4		
DB01098	4	4	4	4	2	4
DB01099	1.5					
DB01100					4	
DB01101	4					
DB01103	2					
DB01104		4	4	2	4	
DB01105					4	
DB01106				0		
DB01107						
DB01108	2					
DB01109	3	4	3	4		
DB01110		2		4		
DB01112				4		1.5
DB01113	4				1	2.5
DB01114				4		
DB01115		0	3	4	2	
DB01117	1					
DB01118		4		2.5		
DB01119			4		1.5	
DB01120			4	2	1	
DB01121						
DB01123	2					
DB01124			4			
DB01125						
DB01126	4			3	1	
DB01128	4			1		
DB01129	4		4	3	4	
DB01130				1		
DB01132	3	4	4	4	4	
DB01136	3	4	4		4	
DB01137	4		4	4		4
DB01138						
DB01142	2			4	4	
DB01143	3					
DB01144						
DB01146						
DB01147			4			
DB01149					4	
DB01150						
DB01151	2				4	
DB01153				2		
DB01154						
DB01155						
DB01156	4	4	4	2.5	4	
DB01157	2					
DB01159						
DB01161						3
DB01162	4		4		2	
DB01165	4		3	4		4
DB01166	1.5	4	4	3	4	
DB01167	4	1	1	2	1	
DB01168	3					
DB01169	2					
DB01171					3	
DB01172	3					
DB01173	4			1		
DB01174	2				3	
DB01175						
DB01176						
DB01177	4					
DB01178						
DB01179	3					
DB01181	4			2		
DB01182		3				
DB01183		4	4	4	4	
DB01184	4				4	
DB01185	2					
DB01186					3	
DB01188				4		
DB01189	4	0		4		
DB01190	4		4	2.5		4
DB01193						
DB01194						4
DB01195		3				
DB01196	3					
DB01197	2		4	4		
DB01198				3	4	
DB01200			4		4	
DB01202	4	3			4	
DB01203				2	4	
DB01204	3					
DB01205					2	
DB01206	3					
DB01210						
DB01211	4	4		4	1.5	
DB01212		3	4		2	
DB01214						
DB01215					4	
DB01216	4		2	4		
DB01217	4				2	
DB01218					1	
DB01219		2				
DB01220	3	0	0	3	3	
DB01221	4	2.5		3	4	4
DB01222	4			4		
DB01223	1	4		3		
DB01224			0	0	4	
DB01225	3	4		4		4
DB01226	4					
DB01228		3				
DB01229	4	3		2		
DB01233	4	4			4	
DB01234	4	3	4	4	4	4
DB01235		4	1	1	4	
DB01236	4	4		4	4	0
DB01237						
DB01238					4	
DB01239					3	
DB01240		4	4		0	
DB01241			1		1	
DB01242					4	
DB01243						
DB01246						
DB01247					1	
DB01248	4					
DB01251			4			
DB01252			4			
DB01254	3				2	
DB01255					4	
DB01256				4		
DB01257				2		
DB01259	3					
DB01260				4		
DB01261		4	4	2		
DB01262	4					
DB01263	1			4		
DB01264				4		
DB01265	3			4		
DB01267					4	
DB01268	3			1.5		
DB01269	4					
DB01270	4		4		1	4
DB01273	3			4	4	
DB01274	1		0	4	2	
DB01275	2	3	4		3	
DB01276		4	4	0	4	
DB01277		1.5	0	2.5	2	
DB01278			4		4	
DB01281			2	4		
DB01283				4		
DB01285	0		4	4	2	4
DB01288				4		
DB01291						
DB01294						
DB01296						
DB01303						
DB01306						
DB01307			4		2	
DB01309		3	4		2	
DB01320					3	
DB01322						
DB01324						
DB01325						
DB01327	3		4	4		4
DB01329	0					
DB01339				4		
DB01340			4			
DB01348			4			
DB01351				1.5		
DB01353						
DB01359						
DB01364	4			4		
DB01366				4		
DB01367					4	
DB01373	4	4	4	4	4	
DB01377	4		3			
DB01380	3		4	2.5		
DB01382						
DB01388	1					
DB01392			2		3	
DB01393		4	2		2	
DB01394	2	4	2	4		
DB01395			3		2	
DB01396						
DB01399			2.5	4	4	
DB01400	4					
DB01403					3	
DB01406	2					
DB01408				4		
DB01409				4		
DB01410				4		
DB01412				3		
DB01413	1		4			
DB01415						
DB01418	1	4				
DB01420						
DB01425	4					
DB01432		3	4			
DB01435				2		
DB01436	2		4	4		
DB01437						
DB01440					4	
DB01452	0					
DB01454					2	
DB01488					2	
DB01544						
DB01551						
DB01558					3	
DB01559						
DB01563					3	0
DB01576		2			4	
DB01577	1.5		4	3		
DB01580						
DB01584						
DB01586	4		4	2	1	
DB01588						
DB01589						
DB01590	4	4	1.5	4	2.5	
DB01591	4				4	
DB01592	4		2	4		
DB01593			4	4		
DB01595					4	
DB01599		4	4		1.5	
DB01600				0		
DB01601	2			4		
DB01605	4					
DB01606			4	0		
DB01607				0		
DB01609	2					
DB01610	2			4	1.5	
DB01611	2	4	2	4		
DB01616	0					
DB01618					4	
DB01619						
DB01620						
DB01621						
DB01623						
DB01624					4	
DB01628	2		0	4		
DB01638				2.5	2	
DB01645	2.5					
DB01708	4		3	3	2	
DB01744				1		
DB01783			3	3		
DB01873	2					
DB01933	2					
DB01954					1	
DB01987			0			
DB02300	2		2.5	4		
DB02342	2					
DB02513			0			
DB02530			1.5		2	
DB02546	2.5		2	1.5	2	
DB02701	3	2	4	2.5	4	
DB02703	3		4	3		
DB02709	1		4	3	4	
DB02901	1					
DB02959				2	4	
DB03010	3					
DB03085			2			
DB03128		4	2		4	
DB03166	2		0			
DB03209						
DB03247				3		
DB03255				4	2	
DB03312	1.5					
DB03366	2				4	
DB03424		3				
DB03496	2					
DB03516	3					
DB03568			1	2	4	
DB03695	2					
DB03793			0			
DB03843				1.5		
DB03852			0			
DB03904						
DB04106	3					
DB04216	2.5		2	1.5	2	
DB04253	1					
DB04272	4	2.5	1	4	3	2
DB04339				1		
DB04398						
DB04468	2.5					
DB04571	3					
DB04572	3			1.5		
DB04575						
DB04743	2			4		
DB04786	3				1.5	
DB04815						
DB04817		4			3	
DB04829					2	
DB04830	2.5					
DB04835	2	2.5		2		
DB04837						
DB04839	3		4			
DB04841					4	
DB04842					4	
DB04844					2	
DB04845						
DB04849	3					
DB04854			4	4		
DB04858	3					
DB04861		4	4			2
DB04864					4	
DB04876		4	4		2	
DB04878		0	4			
DB04879	3					
DB04890				3		
DB04892					3	
DB04896		0		4	4	
DB04899		2	0			
DB04900	3			3		
DB04905	2					
DB04920	4	3			4	
DB04925		3				
DB04931		2	2	3		
DB04932				2		
DB04936			3			
DB04946					4	
DB04950	2					
DB04951	1.5	2	3	4		
DB04953					3	
DB04958	2			3		
DB04960	2					
DB04967	2					
DB04996	3					
DB05010					2	
DB05015	2					
DB05022	2					
DB05039						
DB05057				2		
DB05076	3				3	
DB05087					3	
DB05088	2			2		
DB05097	2					
DB05099		3				
DB05100	3					
DB05105			2	2		
DB05109	2					
DB05136	3					
DB05219						
DB05229			4			
DB05239						
DB05245	0			0		
DB05246						
DB05254		2	2			
DB05258	3		4	3		3
DB05259			4	2		3
DB05260	1					
DB05266					1	
DB05271		2			4	
DB05273	2					
DB05296	1					
